,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,accuracy,macro avg,weighted avg
precision,0.8148148148148148,0.8888888888888888,0.952054794520548,0.875,0.75,1.0,0.9787234042553191,0.967741935483871,0.8513513513513513,1.0,0.9113924050632911,0.90625,0.9431818181818182,0.9538461538461539,0.9038461538461539,0.8222222222222222,0.7619047619047619,0.8,0.9107142857142857,0.926605504587156,0.8809523809523809,0.8181818181818182,0.9550561797752809,0.9789473684210527,0.9615384615384616,0.9680851063829787,0.9097744360902256,0.967741935483871,0.8333333333333334,0.6623376623376623,0.9878048780487805,0.971830985915493,0.961038961038961,0.9154929577464789,0.8181818181818182,0.8780487804878049,0.6707317073170732,0.8305084745762712,0.9310344827586207,0.99,0.9150943396226415,0.9108910891089109,0.8809523809523809,1.0,0.9285714285714286,0.8695652173913043,0.92,0.7758620689655172,0.8813559322033898,0.9325842696629213,0.7974683544303798,0.819672131147541,0.8888888888888888,0.7875,0.9038461538461539,0.96,0.9130434782608695,0.8450704225352113,0.9545454545454546,0.9433962264150944,0.8793103448275862,0.8428571428571429,0.9298245614035088,0.9615384615384616,0.94,0.9423076923076923,0.9473684210526315,0.8888888888888888,0.896551724137931,0.9591836734693877,0.8490566037735849,0.8,0.896551724137931,0.9411764705882353,0.8823529411764706,0.8571428571428571,0.7704918032786885,1.0,0.9054054054054054,0.9137931034482759,0.782608695652174,0.7017543859649122,0.8214285714285714,0.8421052631578947,0.8431372549019608,0.9038461538461539,0.8444444444444444,0.8787878787878788,0.9421487603305785,0.7666666666666667,0.91,0.9347826086956522,0.9310344827586207,0.9387755102040817,0.9206349206349206,0.9607843137254902,1.0,0.3787878787878788,0.8923076923076924,0.6704545454545454,0.8596491228070176,0.9629629629629629,0.9896907216494846,0.972972972972973,0.9347826086956522,0.9423076923076923,0.936,0.9663865546218487,0.9893617021276596,1.0,0.9807692307692307,0.8651685393258427,0.8958333333333334,0.6461538461538462,0.7428571428571429,0.8727272727272727,0.9649122807017544,0.8275862068965517,0.98,1.0,0.8952214452214452,0.8902990174824346,0.898464417775794
recall,0.8461538461538461,0.9411764705882353,0.9144736842105263,0.8571428571428571,0.868421052631579,0.9318181818181818,0.9583333333333334,0.8333333333333334,0.875,0.9928057553956835,0.96,0.9157894736842105,0.9540229885057471,0.8732394366197183,0.7966101694915254,0.6981132075471698,0.8421052631578947,0.75,1.0,0.8559322033898306,0.9024390243902439,0.8275862068965517,0.9659090909090909,0.96875,0.9803921568627451,0.91,0.9166666666666666,1.0,0.5454545454545454,0.796875,0.9878048780487805,0.9583333333333334,0.9367088607594937,0.9420289855072463,0.875,0.8470588235294118,0.859375,0.8596491228070176,0.8350515463917526,0.9705882352941176,0.9509803921568627,0.9484536082474226,0.7708333333333334,0.95,0.9512195121951219,0.7407407407407407,0.8070175438596491,0.8181818181818182,0.896551724137931,0.7830188679245284,0.7590361445783133,0.8928571428571429,0.927536231884058,0.7325581395348837,0.9038461538461539,0.9411764705882353,0.84,0.8450704225352113,0.9402985074626866,0.9615384615384616,0.9444444444444444,0.9672131147540983,0.9636363636363636,0.9433962264150944,0.9038461538461539,0.98,0.9152542372881356,0.96,0.8813559322033898,0.9215686274509803,0.9,0.88,0.9629629629629629,0.96,0.9,0.9230769230769231,0.8867924528301887,0.9814814814814815,0.9710144927536232,0.9298245614035088,0.6792452830188679,0.8,0.92,0.9230769230769231,0.8269230769230769,0.94,0.9047619047619048,0.8529411764705882,0.9661016949152542,0.9019607843137255,0.8921568627450981,0.8431372549019608,0.9642857142857143,0.8846153846153846,0.9830508474576272,0.875,0.9857142857142858,0.5,0.7435897435897436,0.6413043478260869,0.98,0.9541284403669725,0.96,0.9818181818181818,0.9052631578947369,0.8672566371681416,0.9915254237288136,0.9663865546218487,0.96875,1.0,0.9622641509433962,0.9506172839506173,0.7818181818181819,0.8235294117647058,0.4727272727272727,0.8135593220338984,1.0,0.8571428571428571,0.98,1.0,0.8952214452214452,0.8902631507050036,0.8952214452214452
f1-score,0.830188679245283,0.9142857142857143,0.9328859060402684,0.8659793814432989,0.8048780487804879,0.9647058823529412,0.968421052631579,0.8955223880597015,0.863013698630137,0.996389891696751,0.935064935064935,0.9109947643979057,0.9485714285714286,0.9117647058823529,0.8468468468468469,0.7551020408163266,0.8,0.7741935483870969,0.9532710280373832,0.8898678414096917,0.8915662650602411,0.8228571428571428,0.96045197740113,0.9738219895287958,0.970873786407767,0.9381443298969071,0.9132075471698113,0.9836065573770492,0.6593406593406592,0.7234042553191489,0.9878048780487805,0.965034965034965,0.9487179487179488,0.9285714285714286,0.8456375838926175,0.8622754491017964,0.7534246575342465,0.8448275862068966,0.8804347826086957,0.9801980198019802,0.9326923076923077,0.9292929292929293,0.8222222222222222,0.9743589743589743,0.9397590361445782,0.7999999999999999,0.8598130841121495,0.7964601769911505,0.888888888888889,0.8512820512820514,0.7777777777777778,0.8547008547008548,0.9078014184397163,0.7590361445783131,0.9038461538461539,0.9504950495049505,0.8749999999999999,0.8450704225352113,0.9473684210526316,0.9523809523809524,0.9107142857142858,0.9007633587786259,0.9464285714285715,0.9523809523809524,0.9215686274509804,0.9607843137254902,0.9310344827586206,0.923076923076923,0.888888888888889,0.9400000000000001,0.8737864077669903,0.8380952380952381,0.9285714285714286,0.9504950495049505,0.8910891089108911,0.888888888888889,0.8245614035087719,0.9906542056074767,0.937062937062937,0.9217391304347825,0.7272727272727273,0.7476635514018691,0.8679245283018867,0.8807339449541285,0.8349514563106797,0.9215686274509804,0.8735632183908046,0.8656716417910447,0.9539748953974895,0.8288288288288289,0.900990099009901,0.8865979381443299,0.9473684210526316,0.9108910891089108,0.9508196721311476,0.9158878504672897,0.9928057553956835,0.43103448275862066,0.8111888111888114,0.6555555555555556,0.9158878504672898,0.9585253456221199,0.9746192893401014,0.9773755656108598,0.9197860962566845,0.9032258064516129,0.962962962962963,0.9663865546218487,0.9789473684210526,1.0,0.9714285714285713,0.9058823529411766,0.8349514563106797,0.7241379310344827,0.5777777777777778,0.8421052631578948,0.9821428571428572,0.8421052631578947,0.98,1.0,0.8952214452214452,0.8884043505702903,0.8951926837087557
support,52.0,85.0,152.0,49.0,114.0,88.0,96.0,72.0,72.0,139.0,75.0,95.0,87.0,71.0,59.0,53.0,57.0,48.0,51.0,118.0,82.0,87.0,88.0,96.0,51.0,100.0,132.0,60.0,55.0,64.0,82.0,72.0,79.0,69.0,72.0,85.0,64.0,57.0,97.0,102.0,102.0,97.0,96.0,80.0,82.0,54.0,57.0,55.0,58.0,106.0,83.0,56.0,69.0,86.0,52.0,51.0,50.0,71.0,67.0,52.0,54.0,61.0,55.0,53.0,52.0,50.0,59.0,50.0,59.0,51.0,50.0,50.0,54.0,50.0,50.0,52.0,53.0,54.0,69.0,57.0,53.0,50.0,50.0,52.0,52.0,50.0,84.0,68.0,118.0,51.0,102.0,51.0,56.0,52.0,59.0,56.0,70.0,50.0,78.0,92.0,50.0,109.0,100.0,110.0,95.0,113.0,118.0,119.0,96.0,58.0,53.0,81.0,55.0,51.0,55.0,59.0,55.0,56.0,50.0,69.0,0.8952214452214452,8580.0,8580.0
