iteration,acc
268,88.81
269,88.66
270,88.75
271,88.8
272,88.71
273,88.76
274,88.86
275,88.9
276,88.92
277,89.03
278,88.98
279,89.02
280,88.95
281,89.1
282,89.23
283,89.28
284,89.35
285,89.38
286,89.43
287,89.44
288,89.36
289,89.46
290,89.51
291,89.44
292,89.43
293,89.55
294,89.61
295,89.57
296,89.62
297,89.7
298,89.71
299,89.64
300,89.63
301,89.46
302,89.65
303,89.63
304,89.68
305,89.57
306,89.48
307,89.52
308,89.57
309,89.81
310,89.86
311,89.84
312,89.98
313,90.03
314,89.96
315,89.99
316,90.06
317,90.08
318,89.98
319,90.04
320,90.09
321,90.09
322,90.13
323,90.14
324,90.07
325,90.08
326,90.02
327,90.17
328,90.39
329,90.56
330,90.49
331,90.52
332,90.52
333,90.42
334,90.48
335,90.41
336,90.38
337,90.46
338,90.44
339,90.42
340,90.46
341,90.55
342,90.7
343,90.73
344,90.5
345,90.58
346,90.66
347,90.72
348,90.7
349,90.74
350,90.81
351,90.83
352,90.82
353,90.8
354,90.87
355,90.81
356,90.87
357,90.79
358,90.83
359,90.8
360,90.84
361,90.74
362,90.78
363,90.95
364,90.96
365,90.95
366,90.95
367,90.97
368,90.92
369,90.83
370,90.81
371,90.93
372,90.96
373,90.99
374,91.09
375,91.14
376,91.08
377,91.25
378,91.33
379,91.36
380,91.35
381,91.32
382,91.48
383,91.44
384,91.49
385,91.48
386,91.57
387,91.72
388,91.61
389,91.54
390,91.54
391,91.47
392,91.51
393,91.53
394,91.48
395,91.51
396,91.56
397,91.66
398,91.65
399,91.7
400,91.72
401,91.75
402,91.61
403,91.72
404,91.75
405,91.75
406,91.85
407,91.8
408,91.79
409,91.74
410,91.82
411,91.96
412,91.97
413,91.91
414,91.76
415,91.9
416,91.99
417,91.97
418,91.96
419,92.01
420,91.89
421,91.88
422,91.93
423,91.9
424,91.89
425,91.89
426,91.88
427,92.05
428,92.09
429,92.04
430,92.09
431,92.1
432,92.24
433,92.26
434,92.17
435,92.11
436,92.16
437,92.13
438,92.03
439,92.05
440,92.11
441,92.16
442,92.13
443,92.22
444,92.17
445,92.21
446,92.24
447,92.31
448,92.31
449,92.27
450,92.23
451,92.35
452,92.26
453,92.36
454,92.33
455,92.32
456,92.33
457,92.36
458,92.37
459,92.41
460,92.44
461,92.44
462,92.44
463,92.54
464,92.6
465,92.58
466,92.56
467,92.5
468,92.61
469,92.54
470,92.56
471,92.53
472,92.57
473,92.61
474,92.71
475,92.8
476,92.82
477,92.78
478,92.79
479,92.74
480,92.71
481,92.7
482,92.89
483,92.89
484,92.91
485,92.8
486,92.73
487,92.75
488,92.71
489,92.73
490,92.78
491,92.8
492,92.91
493,92.98
494,92.96
495,92.95
496,92.9
497,92.97
498,93.06
499,93.02
